date,open,high,low,close,volume,currency,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
2020-07-14,0.01,0.02,0.01,0.01,962914432,USD,-962914432.0,962914432,,,,,-957647807.9276965,,,1000.0,,,,,,0.0,0.0,,0.02333333333333333,0.0033333333333333335,,0.33333333333333337,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.015,,0.0,0.0,0.0,,126.0059356136821,118.80962643678161,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-99.99171312949855,,0.0
2020-07-15,0.01,0.02,0.01,0.02,989002240,USD,26087808.0,1951916672,,,0.0,,26167603.472019672,,,1000.0,,,,,,0.0,0.0,,0.025,0.005,,0.75,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.015,,0.0,0.0,0.0,,126.0059356136821,118.80962643678161,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,100.0,69.31471805599449,100.0
2020-07-16,0.02,0.02,0.02,0.02,1011651200,USD,26087808.0,2963567872,,,0.0,,989002240.0,,,1000.0,,,,,,0.0,0.0,,0.023333333333333334,0.01,,0.75,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.015,,0.0,0.0,0.0,,126.0059356136821,118.80962643678161,,,,0.01,,1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,100.0
2020-07-17,0.02,0.02,0.01,0.01,879522624,USD,-853434816.0,2084045248,,,-5.684902086157138e-06,,-439761312.0,,,500.0,,,,,,0.0,0.0,,0.023333333333333334,0.008333333333333333,,0.11111111111111112,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.015,,0.0,0.0,0.0,,126.0059356136821,118.80962643678161,,,,,0.02,0.0,1.0,,,,,,,,,,,,,,,,,,,-50.0,-69.31471805599449,0.0
2020-07-18,0.01,0.02,0.01,0.02,626689408,USD,-226745408.0,2710734656,,,0.0,,186928096.0,,,1000.0,,,,,,0.0,0.0,,0.024,0.008,,0.75,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.015,,0.0,0.0,0.0,,126.0059356136821,118.80962643678161,,,,0.01,,1.0,0.0,,,,,,,,,,,,,,,,,,,100.0,69.31471805599449,100.0
2020-07-19,0.02,0.02,0.01,0.01,850046528,USD,-1076791936.0,1860688128,,,0.0,,201666144.0,,,1000.0,,,,,,0.0,0.0,,0.02388888888888889,0.007222222222222223,,0.16666666666666666,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.015,,0.0,0.0,0.0,,126.0059356136821,118.80962643678161,,,,,0.02,0.0,1.0,,,,,,,,,,,,,,,,,,,-50.0,-69.31471805599449,0.0
2020-07-20,0.01,0.01,0.01,0.01,779306624,USD,-1076791936.0,2639994752,,,-0.0,,-425023264.0,,,1000.0,,,,,,0.0,0.0,,0.021904761904761906,0.00761904761904762,,0.1666666666666666,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.015,,0.0,0.0,0.0,,126.0059356136821,118.80962643678161,,,,,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
2020-07-21,0.01,0.02,0.01,0.02,1696220160,USD,619428224.0,4336214912,,,2.9477305587501094e-06,,1696220160.0,,,1000.0,,,,,,0.0,0.0,,0.022500000000000003,0.007500000000000001,,0.8333333333333333,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.015,,0.0,0.0,0.0,,126.0059356136821,118.80962643678161,,,,0.01,,1.0,0.0,,,,,,,,,,,,,,,,,,,100.0,69.31471805599449,100.0
2020-07-22,0.02,0.02,0.02,0.02,889109696,USD,619428224.0,5225324608,,,0.0,,1696220160.0,,,1000.0,,,,,,0.0,0.0,,0.022222222222222223,0.008888888888888889,,0.8333333333333333,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.015,,,0.015,,0.0,0.0,0.0,,126.0059356136821,118.80962643678161,,,,0.01,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,100.0
2020-07-23,0.02,0.02,0.02,0.02,540914816,USD,619428224.0,5766239424,,,0.0,,0.0,,,1000.0,,,,,,0.0,0.0,0.015999999999999997,0.022,0.01,75.0,0.8333333333333335,0.0,0.0,,,,,,0.006,,,,,,,,,,,,,,,,,,0.015,,,0.015,,0.0,0.0,0.0,,126.0059356136821,118.80962643678161,,,,0.01,,0.0,0.0,,,,,,,,,,,,,,,,,,0.02,0.0,0.0,100.0
